County,Year,pdsi,1_priv_0_pub,med_income,"irrig, crop surface (thousand acres)","irrig, crop tot (thousands acre)",avg_rainfall
Mono,2010,1.79,0,52768,1.35,71.31,1.8783333333333332
Mono,2011,1.21,0,48758,NA,NA,1.16
Mono,2012,-3.72,0,53067,NA,NA,1.1816666666666666
Mono,2013,-3.98,0,55107,NA,NA,0.5066666666666667
Mono,2014,-4.34,0,59181,NA,NA,0.89
Mono,2015,-2.09,0,53992,8.25,37.73,1.1733333333333333
Mono,2016,1.15,0,56574,NA,NA,1.2683333333333333
Monterey,2008,-3.57,1,58822,NA,NA,1.4808333333333332
Monterey,2009,-0.18,1,57647,NA,NA,1.535
Monterey,2010,1.84,1,53735,76.51,425.05,2.4166666666666665
Monterey,2011,2.81,1,52746,NA,NA,1.6916666666666667
Monterey,2012,-2.44,1,56038,NA,NA,1.6616666666666666
Monterey,2013,-4.85,1,55411,NA,NA,0.34833333333333333
Monterey,2014,-5.54,1,57428,NA,NA,1.6608333333333334
Monterey,2015,-3.66,1,60047,27.07,262.33,0.9366666666666666
Monterey,2016,-0.94,1,62999,NA,NA,1.7383333333333333
Napa,2008,-3.99,1,64829,NA,NA,2.0941666666666667
Napa,2009,-0.1,1,66970,NA,NA,2.1333333333333333
Napa,2010,2.37,1,62893,0,44.12,3.549166666666667
Napa,2011,3.15,1,61179,NA,NA,2.2941666666666665
Napa,2012,1.16,1,65698,NA,NA,3.285833333333333
Napa,2013,-3.52,1,68619,NA,NA,0.56
Napa,2014,-3.52,1,71063,NA,NA,2.7733333333333334
Napa,2015,-4.48,1,72683,0.27,49.95,1.1566666666666667
Napa,2016,0.16,1,73112,NA,NA,3.000833333333333
Nevada,2008,-4.62,1,56030,NA,NA,2.84
Nevada,2009,-1.58,1,57250,NA,NA,3.4925
Nevada,2010,3.14,1,54154,7,10.34,5.628333333333333
Nevada,2011,3.34,1,53833,NA,NA,3.6225
Nevada,2012,-0.45,1,54230,NA,NA,5.2375
Nevada,2013,-2.29,1,55246,NA,NA,1.2966666666666666
Nevada,2014,-2.71,1,57118,NA,NA,4.035
Nevada,2015,-3.7,1,57627,4.35,11.54,2.6733333333333333
